,0,1
Ocotal,seat of a first-order administrative division,33928.0
Paghman district,,
Jounieh,seat of a second-order administrative division,96315.0
Empangeni,populated place,28093.0
Mungia,seat of a third-order administrative division,16209.0
Colon,seat of a first-order administrative division,76643.0
Rahim Yar Khan,seat of a second-order administrative division,788915.0
Waza Khwa district,,
Imam Weis,,
Cuernavaca,seat of a first-order administrative division,343769.0
Ratnapura,seat of a first-order administrative division,47832.0
Canberra,capital of a political entity,367752.0
Dhobley,populated place,0.0
Gali,pass,0.0
Hualla,populated place,0.0
Andar,second-order administrative division,0.0
Murcia,seat of a first-order administrative division,436870.0
Boulder,seat of a second-order administrative division,107349.0
Bogra,populated place,210000.0
Makati City,seat of a second-order administrative division,510383.0
Puli Alam district,,
Mercedes Umana,populated place,0.0
Asmara,capital of a political entity,563930.0
Mahupadar,populated place,0.0
Waghaz district,,
Golweyn,hills,0.0
Apastepeque,lake,0.0
Meadowlands,populated place,134.0
Sundargarh,second-order administrative division,2093437.0
Bokaro,populated place,418533.0
Santa Cruz del Quiche,seat of a first-order administrative division,23618.0
Kashmore,second-order administrative division,0.0
Muse,locality,0.0
Fort-de-France,capital of a political entity,89995.0
Razmak,populated place,0.0
Suez,seat of a first-order administrative division,488125.0
Reg district,populated place,0.0
Jabella,,
Timergara,,
Dand,populated place,0.0
Kantale,forest reserve,0.0
Andahuaylas,airport,0.0
Bak,second-order administrative division,0.0
Nuttal,lake,0.0
Siirt,seat of a first-order administrative division,114034.0
Ghayl Ba Wazir,second-order administrative division,48831.0
Brasilia,independent political entity,201103330.0
Makassar,seat of a first-order administrative division,1321717.0
San Ignacio,populated place,16812.0
Kfar Aza,,
Chalhuanca district,,
Moyobamba,seat of a first-order administrative division,44276.0
Sandakan,populated place,392288.0
Curumani,seat of a second-order administrative division,22084.0
Gomal district,street,0.0
Kasese,seat of a second-order administrative division,67269.0
Aizawl,seat of a first-order administrative division,265331.0
Kuito,seat of a first-order administrative division,113624.0
Lourdes,populated place,15786.0
Yola,seat of a first-order administrative division,96006.0
Bastar,second-order administrative division,748941.0
Murra,second-order administrative division,0.0
El Paraiso,first-order administrative division,383565.0
Houla,area,0.0
Thoppur,,
Svitlodarsk,populated place,12273.0
Mainok,third-order administrative division,0.0
Amerli,,
Ponce,seat of a first-order administrative division,152634.0
Ouagadougou,capital of a political entity,1086505.0
Metula,populated place,1466.0
El Playon,second-order administrative division,13148.0
Chichicastenango,seat of a second-order administrative division,79759.0
Sangrur District,populated place,88615.0
San Cristobal Verapaz,populated place,19664.0
Buleda,region,0.0
Murunkan,parish,0.0
Jaffa,section of populated place,100000.0
Bhojpur,airport,0.0
Azcoitia,seat of a third-order administrative division,11266.0
Qom,seat of a first-order administrative division,900000.0
Buraiqeh,second-order administrative division,62405.0
Cullyhanna,populated place,0.0
Qaa,populated place,0.0
El Paujil,second-order administrative division,17634.0
Qoryoley district,,
Amritsar district,populated place,1092450.0
Sokilnyky,populated place,0.0
La Esperanza,second-order administrative division,0.0
Ayutuxtepeque,populated place,25426.0
Caloocan,seat of a second-order administrative division,1500000.0
Chincay,populated place,0.0
Beja,first-order administrative division,161211.0
Alasay district,,
Port Shepstone,seat of a second-order administrative division,52793.0
Awjah,hill,0.0
Cartago,seat of a first-order administrative division,26594.0
Jisr al-Shughur,seat of a second-order administrative division,39311.0
Geidam,second-order administrative division,0.0
Shahrak district,populated place,0.0
Owerri,seat of a first-order administrative division,215038.0
San Francisco Javier,locality,0.0
Ondangua,populated place,9124.0
Shakai,area,0.0
Pandanguo,locality,0.0
Bolivar,seat of a first-order administrative division,338000.0
Mocoa,seat of a first-order administrative division,22035.0
Edmonton,seat of a first-order administrative division,712391.0
Sonitpur district,,
Saydabad,second-order administrative division,0.0
Arcatao,populated place,0.0
Bo Thong,second-order administrative division,44177.0
Tuguegarao,seat of a first-order administrative division,115105.0
Churachandpur district,,
Fafahdun,populated place,0.0
Na Pradu,populated place,0.0
Askira,second-order administrative division,0.0
Concepcion Quetzaltepeque,,
Silla de Oro,mountain,0.0
Chishti Sharif district,,
Finaghy,populated place,0.0
Loralai district,second-order administrative division,700000.0
Suruc,second-order administrative division,101366.0
Dire Dawa,seat of a first-order administrative division,252279.0
Baidoa district,second-order administrative division,0.0
Tarapoto,airport,0.0
Jamshedpur,populated place,616338.0
Shah Joy,second-order administrative division,0.0
Mannar district,second-order administrative division,0.0
Escravos,stream,0.0
Chico,second-order administrative division,2926.0
Pau,seat of a second-order administrative division,82697.0
Nuevo Eden de San Juan,populated place,0.0
Kiran,mountain,0.0
Eringeti,populated place,0.0
Parom,region,0.0
Lokoja,seat of a first-order administrative division,60579.0
Khanewal,second-order administrative division,0.0
Al Junaynah,populated place,0.0
Boni,reserve,0.0
Bonny,second-order administrative division,0.0
Rangoon,seat of a first-order administrative division,4477638.0
Al-Kharouba,point,0.0
Duren,seat of a third-order administrative division,93440.0
Morang district,third-order administrative division,908459.0
Muang (District),seat of a first-order administrative division,85000.0
Tabuk,seat of a first-order administrative division,455450.0
Nasirnagar,populated place,0.0
Sanagoran,third-order administrative division,0.0
Tallinn,capital of a political entity,394024.0
Sokoto,seat of a first-order administrative division,563861.0
Aurangabad,seat of a second-order administrative division,1016441.0
Kashgar,seat of a second-order administrative division,274717.0
Bloemfontein,seat of a first-order administrative division,463064.0
Awdheegle,,
Dashti Qala district,,
Kulbiyow,populated place,0.0
Sevilla,seat of a first-order administrative division,703206.0
Bint Jbeil,second-order administrative division,0.0
Sarobi district,second-order administrative division,48291.0
Creggan,lake,0.0
Rakhni,populated place,0.0
Dhadar,populated place,15090.0
Welikanda,populated place,0.0
Sayyidah Zaynab,section of populated place,0.0
Waygal district,,
Palma de Mallorca,seat of a first-order administrative division,401270.0
Tarragona,seat of a second-order administrative division,140323.0
Sarab,second-order administrative division,0.0
Draa El Mizan,populated place,41263.0
Badari,populated place,44132.0
Hamad,populated place,52718.0
San Cristobal,capital of a political entity,525990.0
Chainpur,second-order administrative division,0.0
Gwoza district,,
Puerto Valdivia,populated place,3500.0
Barmal,hill,0.0
Tuyong,populated place,0.0
Sidi Moussa,populated place,57928.0
Karukh district,mountain,0.0
Puerto Libertador,second-order administrative division,35186.0
Chegem,populated place,10951.0
Jammu district,populated place,465567.0
Paka Harang,,
San Rafael Obrajuelo,populated place,0.0
Tirah,populated place,20786.0
Habhab,populated place,0.0
Cho I Rong,,
El Sauce,second-order administrative division,0.0
Haskah Menah,populated place,0.0
Iloilo,seat of a second-order administrative division,387681.0
Muzaffarabad,seat of a first-order administrative division,725000.0
Bijni,populated place,12990.0
Bissau,capital of a political entity,388028.0
Berezove,populated place,0.0
Salzburg,seat of a first-order administrative division,153377.0
Khagrachari,populated place,50364.0
Spin Wam,locality,0.0
Albu Sayf,populated place,0.0
Serif Omar,,
Antofagasta,seat of a first-order administrative division,309832.0
Nuremberg,populated place,499237.0
Tangi,populated place,337579.0
Bolan district,lake,0.0
Thungyangdaeng,second-order administrative division,20009.0
Dawezai,tribal area,0.0
Naciria,populated place,15387.0
Kassala,seat of a first-order administrative division,401477.0
Gadchiroli,second-order administrative division,1072942.0
Blackpool,seat of a second-order administrative division,239409.0
Lucknow,seat of a first-order administrative division,2472011.0
Olongapo,seat of a third-order administrative division,221178.0
Goniri,third-order administrative division,0.0
Anuradhapura district,second-order administrative division,755431.0
Sayyad district,populated place,0.0
Tagab,second-order administrative division,0.0
Dargecit district,,
San Jose de Secce,populated place,0.0
Almaty,seat of a first-order administrative division,2000900.0
Ituango,second-order administrative division,25088.0
Jauja,second-order administrative division,0.0
Buldon,field(s),0.0
Chita,seat of a first-order administrative division,308500.0
Urgun,locality,0.0
Jalrez,locality,0.0
Marchak,mountain,0.0
Al-Khums,seat of a first-order administrative division,201943.0
Nuoro,seat of a second-order administrative division,35948.0
Champaign,populated place,86096.0
Chengdu,seat of a first-order administrative division,7415590.0
Madison,seat of a first-order administrative division,248951.0
Nushki district,second-order administrative division,0.0
Jamui,populated place,78181.0
Brighton,seat of a second-order administrative division,139001.0
Khanaqin district,second-order administrative division,0.0
Amurrio,seat of a third-order administrative division,10089.0
Buena Vista,second-order administrative division,20260.0
Tamontaka,distributary(-ies),0.0
Jaipur,seat of a first-order administrative division,2711758.0
Aheri,populated place,0.0
Rio Blanco district,reserve,0.0
Eshkolot,populated place,0.0
Aliabad district,fourth-order administrative division,0.0
Villanueva,second-order administrative division,80662.0
Nayagram,populated place,0.0
Lubumbashi,seat of a first-order administrative division,1373770.0
Prosperidad,locality,0.0
Dinanagar,populated place,23339.0
Hatra district,archaeological/prehistoric site,0.0
Naw Bahar district,,
Stewartstown,populated place,2305.0
San Nicolas,populated place,443273.0
Coagh,populated place,0.0
Bani Walid,populated place,46350.0
Fortul district,,
Nawai,populated place,0.0
Udhampur,populated place,80447.0
Suva,capital of a political entity,77366.0
M'lang,mountain,0.0
St. Petersburg,seat of a first-order administrative division,5028000.0
Kangan,park,0.0
Bangued,third-order administrative division,48163.0
Merano,seat of a third-order administrative division,33453.0
Chandel district,populated place,0.0
Cap-Haitien,seat of a first-order administrative division,134815.0
Tame district,populated place,0.0
San Calixto,second-order administrative division,12581.0
Jamui district,populated place,0.0
Elephant Pass,triangulation station,0.0
Piura,seat of a first-order administrative division,325466.0
Tenenkou,second-order administrative division,0.0
Sozma Qala district,,
Esteli,seat of a first-order administrative division,96422.0
Chaki Wardak district,,
Banihal,populated place,3278.0
Tatvan,seat of a second-order administrative division,73222.0
Chuadanga,second-order administrative division,1129015.0
Torremolinos,seat of a third-order administrative division,65448.0
Nawa,second-order administrative division,1053084.0
Tabit,locality,0.0
Onate,seat of a third-order administrative division,10896.0
Biyo Cadde,populated place,0.0
Oxford,seat of a second-order administrative division,171380.0
Kolambugan,third-order administrative division,27005.0
Zahrani,populated place,0.0
Mansura,seat of a first-order administrative division,420195.0
Nelspruit,seat of a first-order administrative division,110159.0
Albu Souda,,
Kitgum,seat of a second-order administrative division,56891.0
Huancaraylla,third-order administrative division,0.0
Abu Najim,,
Nara,seat of a first-order administrative division,367353.0
Legazpi,airport,0.0
Tachileik,second-order administrative division,0.0
Safra,area,0.0
Buenaventura district,section of populated place,0.0
Lamlai,,
Cappagh,populated place,0.0
El Jicaro,second-order administrative division,0.0
Golan Heights district,section of populated place,0.0
Nesh district,lake,0.0
Nabalawag,mountains,0.0
Albu Khadu,populated place,0.0
Samtah,populated place,26945.0
Yoloaiquin,populated place,0.0
Beit Yahoun,area,0.0
Nuevo Laredo,populated place,349550.0
Barquisimeto,seat of a first-order administrative division,809490.0
Hpakant,third-order administrative division,169795.0
La Belleza,populated place,1649.0
Albu Ajil,populated place,0.0
Osorno,seat of a second-order administrative division,135773.0
Yakouren,populated place,0.0
Marmaris,seat of a second-order administrative division,33731.0
Canete district,,
Salman Bak,locality,0.0
Etapalli,,
Moratuwa,populated place,185031.0
Jableh,second-order administrative division,0.0
Britel,populated place,0.0
Arnoun,populated place,0.0
Vancouver,populated place,600000.0
Al-Qarraj,,
Livorno,seat of a second-order administrative division,153773.0
Basaguda,populated place,0.0
Jilib,second-order administrative division,0.0
Shangla district,second-order administrative division,0.0
Sur Kamar,locality,0.0
Freetown,capital of a political entity,802639.0
Cangallo,second-order administrative division,0.0
Maan,first-order administrative division,121400.0
Dar Sad district,,
Gjilan,seat of a first-order administrative division,51912.0
El Porvenir,second-order administrative division,14437.0
Kabasalan,third-order administrative division,44336.0
Ngamdu,third-order administrative division,0.0
Yamgan district,,
Attock,second-order administrative division,0.0
Serunuware,,
Senapati,second-order administrative division,479148.0
Khair Khana,pass,0.0
Pantasma,second-order administrative division,0.0
Musa Khel,second-order administrative division,300000.0
Makhmur,second-order administrative division,0.0
Wanlaweyn,populated place,22022.0
Troitske,seat of a second-order administrative division,0.0
Los Chiles,second-order administrative division,23735.0
Rumonge,first-order administrative division,35000.0
Shahrag,mountain,0.0
Likoni,populated place,0.0
Marja,area,0.0
Ganta,populated place,0.0
Andamarca,seat of a second-order administrative division,0.0
Ronguyocc Alto,,
Tarma district,populated place,0.0
Shirzad district,,
Mathra,populated place,0.0
Kupwara district,,
Pailitas,seat of a second-order administrative division,10480.0
Khas Uruzgan,populated place,13388.0
Matanog,peak,0.0
Markaba,populated place,0.0
Dammaj,populated place,0.0
Du Layna district,,
Salvador,independent political entity,6052064.0
Chashma Sher,populated place,0.0
Urgun district,second-order administrative division,0.0
Chavuma district,second-order administrative division,0.0
Palca,mountain,0.0
Bayamon,seat of a first-order administrative division,203499.0
Khakrez,second-order administrative division,0.0
Tulsipur,second-order administrative division,0.0
Al-Tuwal,mountain,0.0
San Bartolome Perulapia,populated place,0.0
Konta,second-order administrative division,0.0
Bani Jamra,populated place,0.0
Davao city,seat of a first-order administrative division,1212504.0
Al-Asiri,populated place,0.0
Al-Wardiyah,populated place,0.0
Pabbi,populated place,37307.0
Arroyito,populated place,19577.0
Thul,area,0.0
Abu Karmah,populated place,0.0
Qambar,locality,0.0
Lucane,populated place,0.0
Tamenglong,second-order administrative division,140651.0
Khash Rod,second-order administrative division,0.0
Bigha,park,0.0
Hetauda,populated place,84775.0
Pasto,seat of a first-order administrative division,382236.0
Sernovodsk,populated place,3570.0
Polonnaruwa District,second-order administrative division,368458.0
Cleveland,seat of a second-order administrative division,388072.0
Zhob,second-order administrative division,500000.0
Tlemcen,seat of a first-order administrative division,132341.0
Dwahmande,populated place,0.0
Villa Alemana,seat of a third-order administrative division,97320.0
Perth,seat of a first-order administrative division,1896548.0
Dhekiajuli,populated place,21271.0
Aythah,populated place,0.0
Lenasia,populated place,0.0
Abrego,second-order administrative division,34492.0
Kan'an,populated place,70011.0
Grau district,hill,0.0
Rostock,seat of a third-order administrative division,198293.0
Villa Victoria,second-order administrative division,0.0
Ife,second-order administrative division,0.0
San Miguel Uspantan,second-order administrative division,41892.0
Pashtun Zarghun district,,
Marawara,populated place,0.0
Lam Mai,populated place,0.0
Guihulngan,populated place,22931.0
Jagua de Ibirico,second-order administrative division,22082.0
Totoro,second-order administrative division,17430.0
Matale,populated place,36462.0
Rangpur,seat of a first-order administrative division,343122.0
Maimbung,seat of a third-order administrative division,3779.0
Aybak,seat of a first-order administrative division,47823.0
Elon Moreh,populated place,3376.0
Santa Lucia Cotzumalguapa,seat of a second-order administrative division,62097.0
Santa Cruz Michapa,populated place,0.0
Puerto Cabezas,airport,0.0
Walikale,second-order administrative division,0.0
Braachit,,
Talisay,seat of a third-order administrative division,133148.0
Fayzabad district,populated place,0.0
Benoni,populated place,605344.0
Doom Dooma,populated place,21706.0
Aldeia do Biopio,populated place,0.0
Amiriyah,populated place,0.0
Somotillo,seat of a second-order administrative division,15385.0
tokyo,capital of a political entity,8336599.0
Thirukkovil,populated place,0.0
Panipat,populated place,292808.0
San Juan Cotzal,second-order administrative division,20050.0
Ipekyolu district,,
Merida,seat of a first-order administrative division,717175.0
Tall Tamr,populated place,0.0
Arambala,populated place,0.0
Sonari,populated place,19672.0
Dipolog,populated place,93549.0
Sura,second-order administrative division,0.0
Liverpool,seat of a second-order administrative division,864122.0
Crumlin,populated place,11294.0
Baydhabo,seat of a first-order administrative division,129839.0
Chicacao,second-order administrative division,0.0
Rabat,capital of a political entity,1655753.0
Feni,populated place,84028.0
Chiquimula,first-order administrative division,0.0
Jijiga,seat of a first-order administrative division,56821.0
Monterrey,seat of a first-order administrative division,1122874.0
Al-Mahalla Al-Kubra,populated place,431052.0
Muang ((District)),seat of a first-order administrative division,85000.0
Purulia,second-order administrative division,2930115.0
Wismar,seat of a third-order administrative division,45255.0
Gwadar district,second-order administrative division,0.0
San Francisco Gotera,second-order administrative division,0.0
Curico,seat of a second-order administrative division,102438.0
Las Delicias,populated place,102969.0
Gubat,area,0.0
Hatay,first-order administrative division,1503066.0
Bagumbayan,populated place,0.0
Dallas,seat of a second-order administrative division,1300092.0
Mabalacat City,seat of a third-order administrative division,188050.0
Alabel,seat of a second-order administrative division,43312.0
Salt Lake City,seat of a first-order administrative division,192672.0
Antipolo,seat of a second-order administrative division,549543.0
Omantai,populated place,0.0
Mandera district,first-order administrative division,1025756.0
Iquitos,seat of a first-order administrative division,437620.0
Nawabad,populated place,0.0
Rivera,seat of a first-order administrative division,64631.0
Vista Hermosa,locality,0.0
Vedeno,populated place,3330.0
Hasbaya,second-order administrative division,0.0
Alava district,mountain,0.0
Greifswald,seat of a third-order administrative division,52731.0
Jazan,seat of a first-order administrative division,105198.0
Villagarzon,second-order administrative division,20785.0
Khotsong,section of populated place,0.0
Baizai,populated place,0.0
Loughgall,populated place,0.0
Katlang,populated place,0.0
Evora,first-order administrative division,173408.0
Aldershot,populated place,61339.0
Shikarpur,seat of a second-order administrative division,156901.0
Bougara,populated place,63155.0
Miryan,populated place,0.0
Lamphu,seat of a first-order administrative division,34401.0
La Victoria,capital of a political entity,22881.0
Gjirokaster,seat of a first-order administrative division,23437.0
Sheikh Zuweid district,,
Izberbash,populated place,42121.0
Upper Dir district,second-order administrative division,0.0
Tarma,seat of a third-order administrative division,51350.0
Umm al-Fahm,populated place,41030.0
Rangamati,second-order administrative division,595979.0
Haqlaniyah,populated place,0.0
Rajouri district,second-order administrative division,642415.0
Huancasancos,,
Sangsila,populated place,0.0
Sukhirin district,,
Almoustarat,,
Ghulam Khan,plain(s),0.0
East Singhbhum district,second-order administrative division,2293919.0
Lal Por district,,
Asturias,seat of a first-order administrative division,224005.0
Betong,seat of a second-order administrative division,29604.0
Al-Hudaydah,seat of a first-order administrative division,617871.0
Palu,seat of a first-order administrative division,282431.0
Halabsah,populated place,0.0
San Miguelito,seat of a second-order administrative division,321501.0
Calcutta,seat of a first-order administrative division,4631392.0
Umtata,populated place,78663.0
Poipet,populated place,79000.0
Mbabane,capital of a political entity,76218.0
Lakaro,mountain,0.0
Timilwada,,
Jani Khail district,,
Asansol,seat of a second-order administrative division,504271.0
Dubai,seat of a first-order administrative division,1137347.0
San Gerardo,populated place,0.0
Mbau,locality,0.0
Takht Bhai,populated place,0.0
Beit Shean,populated place,16800.0
Monaragala,populated place,10236.0
San Nicolas Lempa,populated place,0.0
Jaji Maydan district,,
Maasim,third-order administrative division,59468.0
Anco,pass,0.0
Cherkessk,seat of a first-order administrative division,116224.0
Beit Lahiya,populated place,56919.0
Abu Saydah,populated place,0.0
Punta Gorda,seat of a first-order administrative division,5205.0
Aguazul,second-order administrative division,28327.0
Kalyanpur,second-order administrative division,0.0
Konya,seat of a first-order administrative division,875530.0
G.C.,park,0.0
Idli,,
Bansalan,seat of a third-order administrative division,21391.0
Aretxabaleta,populated place,0.0
Nurgal district,,
Randfontein,seat of a second-order administrative division,133654.0
Allahabad,populated place,1073438.0
Puthukkudiyiruppu,populated place,0.0
Dar es Salaam,seat of a first-order administrative division,2698652.0
St. Louis,seat of a first-order administrative division,176000.0
Dinaig,island,0.0
Daveyton,populated place,0.0
Khamis Mushayt,populated place,387553.0
Rodat district,,
Kohistanat district,,
Ligao,seat of a third-order administrative division,10295.0
Tudela,seat of a third-order administrative division,34717.0
Dungiven,populated place,3066.0
Shahat,populated place,0.0
Basmayah,populated place,0.0
Derrylin,populated place,0.0
hyderabad,seat of a first-order administrative division,3597816.0
Bessbrook,populated place,0.0
Beit Einun,,
Ludwigshafen,seat of a third-order administrative division,163196.0
Chemtal,seat of a second-order administrative division,0.0
Khok Pho ((District)),mountain,0.0
Spin Qabar,,
Albu Alwan,area,0.0
Krong Pinang district,,
Sonitpor district,,
Tartus,seat of a first-order administrative division,89457.0
Tangdhar,populated place,0.0
Jalame,slope(s),0.0
Kirundo,first-order administrative division,602089.0
Varanasi,populated place,1164404.0
Ojos de Agua,second-order administrative division,8417.0
Shinwari,second-order administrative division,0.0
